,Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
644,IDCJAC0009,70351,2009,10,6,4.0,1.0,Y
645,IDCJAC0009,70351,2009,10,7,1.2,1.0,Y
646,IDCJAC0009,70351,2009,10,8,1.6,1.0,Y
647,IDCJAC0009,70351,2009,10,9,0.0,,Y
648,IDCJAC0009,70351,2009,10,10,0.0,,Y
649,IDCJAC0009,70351,2009,10,11,0.0,,Y
650,IDCJAC0009,70351,2009,10,12,1.0,1.0,Y
651,IDCJAC0009,70351,2009,10,13,1.8,1.0,Y
652,IDCJAC0009,70351,2009,10,14,2.2,1.0,Y
653,IDCJAC0009,70351,2009,10,15,0.6,1.0,Y
654,IDCJAC0009,70351,2009,10,16,3.0,1.0,Y
655,IDCJAC0009,70351,2009,10,17,1.0,1.0,Y
656,IDCJAC0009,70351,2009,10,18,3.8,1.0,Y
657,IDCJAC0009,70351,2009,10,19,0.0,,Y
658,IDCJAC0009,70351,2009,10,20,0.0,,Y
659,IDCJAC0009,70351,2009,10,21,0.0,,Y
660,IDCJAC0009,70351,2009,10,22,0.0,,Y
661,IDCJAC0009,70351,2009,10,23,0.0,,Y
662,IDCJAC0009,70351,2009,10,24,0.0,,Y
663,IDCJAC0009,70351,2009,10,25,0.0,,Y
664,IDCJAC0009,70351,2009,10,26,14.0,1.0,Y
665,IDCJAC0009,70351,2009,10,27,0.2,1.0,Y
666,IDCJAC0009,70351,2009,10,28,0.0,,Y
667,IDCJAC0009,70351,2009,10,29,0.0,,Y
668,IDCJAC0009,70351,2009,10,30,0.0,,Y
669,IDCJAC0009,70351,2009,10,31,0.0,,Y
670,IDCJAC0009,70351,2009,11,1,0.0,,Y
671,IDCJAC0009,70351,2009,11,2,0.0,,Y
672,IDCJAC0009,70351,2009,11,3,0.8,1.0,Y
673,IDCJAC0009,70351,2009,11,4,0.0,,Y
674,IDCJAC0009,70351,2009,11,5,0.0,,Y
675,IDCJAC0009,70351,2009,11,6,0.0,,Y
676,IDCJAC0009,70351,2009,11,7,0.0,,Y
677,IDCJAC0009,70351,2009,11,8,0.0,,Y
678,IDCJAC0009,70351,2009,11,9,0.0,,Y
679,IDCJAC0009,70351,2009,11,10,0.0,,Y
680,IDCJAC0009,70351,2009,11,11,0.0,,Y
681,IDCJAC0009,70351,2009,11,12,0.0,,Y
682,IDCJAC0009,70351,2009,11,13,0.0,,Y
683,IDCJAC0009,70351,2009,11,14,0.0,,Y
684,IDCJAC0009,70351,2009,11,15,0.0,,Y
685,IDCJAC0009,70351,2009,11,16,0.0,,Y
686,IDCJAC0009,70351,2009,11,17,0.0,,Y
687,IDCJAC0009,70351,2009,11,18,0.0,,Y
688,IDCJAC0009,70351,2009,11,19,0.0,,Y
689,IDCJAC0009,70351,2009,11,20,0.0,,Y
690,IDCJAC0009,70351,2009,11,21,0.8,1.0,Y
