,Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
449,IDCJAC0001,70014,1976,8,23.4,Y
450,IDCJAC0001,70014,1976,9,65.0,Y
451,IDCJAC0001,70014,1976,10,161.0,Y
452,IDCJAC0001,70014,1976,11,49.6,Y
453,IDCJAC0001,70014,1976,12,19.6,Y
454,IDCJAC0001,70014,1977,1,28.4,Y
455,IDCJAC0001,70014,1977,2,148.2,Y
456,IDCJAC0001,70014,1977,3,62.8,Y
457,IDCJAC0001,70014,1977,4,51.0,Y
458,IDCJAC0001,70014,1977,5,73.4,Y
459,IDCJAC0001,70014,1977,6,28.2,Y
460,IDCJAC0001,70014,1977,7,9.4,Y
461,IDCJAC0001,70014,1977,8,21.0,Y
462,IDCJAC0001,70014,1977,9,79.2,Y
463,IDCJAC0001,70014,1977,10,2.4,Y
464,IDCJAC0001,70014,1977,11,4.4,Y
465,IDCJAC0001,70014,1977,12,4.6,Y
466,IDCJAC0001,70014,1978,1,136.6,Y
467,IDCJAC0001,70014,1978,2,4.0,Y
468,IDCJAC0001,70014,1978,3,122.0,Y
469,IDCJAC0001,70014,1978,4,42.6,Y
470,IDCJAC0001,70014,1978,5,74.6,Y
471,IDCJAC0001,70014,1978,6,40.8,Y
472,IDCJAC0001,70014,1978,7,51.0,Y
473,IDCJAC0001,70014,1978,8,13.2,Y
474,IDCJAC0001,70014,1978,9,150.6,Y
475,IDCJAC0001,70014,1978,10,25.2,Y
476,IDCJAC0001,70014,1978,11,51.2,Y
477,IDCJAC0001,70014,1978,12,59.2,Y
478,IDCJAC0001,70014,1979,1,6.0,Y
479,IDCJAC0001,70014,1979,2,0.8,Y
480,IDCJAC0001,70014,1979,3,129.8,Y
481,IDCJAC0001,70014,1979,4,55.4,Y
482,IDCJAC0001,70014,1979,5,12.2,Y
483,IDCJAC0001,70014,1979,6,4.0,Y
484,IDCJAC0001,70014,1979,7,6.0,Y
485,IDCJAC0001,70014,1979,8,43.4,Y
486,IDCJAC0001,70014,1979,9,42.4,Y
487,IDCJAC0001,70014,1979,10,36.0,Y
488,IDCJAC0001,70014,1979,11,55.2,Y
489,IDCJAC0001,70014,1979,12,1.0,Y
490,IDCJAC0001,70014,1980,1,77.0,Y
491,IDCJAC0001,70014,1980,2,57.2,Y
492,IDCJAC0001,70014,1980,3,9.6,Y
493,IDCJAC0001,70014,1980,4,1.0,Y
494,IDCJAC0001,70014,1980,5,44.2,Y
495,IDCJAC0001,70014,1980,6,31.0,Y
496,IDCJAC0001,70014,1980,7,36.2,Y
497,IDCJAC0001,70014,1980,8,22.2,Y
498,IDCJAC0001,70014,1980,9,27.4,Y
499,IDCJAC0001,70014,1980,10,47.0,Y
500,IDCJAC0001,70014,1980,11,55.4,Y
501,IDCJAC0001,70014,1980,12,68.6,Y
502,IDCJAC0001,70014,1981,1,32.0,Y
503,IDCJAC0001,70014,1981,2,140.2,Y
504,IDCJAC0001,70014,1981,3,19.8,Y
505,IDCJAC0001,70014,1981,4,12.6,Y
506,IDCJAC0001,70014,1981,5,46.8,Y
507,IDCJAC0001,70014,1981,6,110.4,Y
508,IDCJAC0001,70014,1981,7,72.8,Y
509,IDCJAC0001,70014,1981,8,57.8,Y
510,IDCJAC0001,70014,1981,9,24.2,Y
511,IDCJAC0001,70014,1981,10,29.4,Y
512,IDCJAC0001,70014,1981,11,69.0,Y
513,IDCJAC0001,70014,1981,12,36.4,Y
514,IDCJAC0001,70014,1982,1,18.2,Y
515,IDCJAC0001,70014,1982,2,18.4,Y
516,IDCJAC0001,70014,1982,3,97.4,Y
517,IDCJAC0001,70014,1982,4,7.6,Y
518,IDCJAC0001,70014,1982,5,0.0,Y
519,IDCJAC0001,70014,1982,6,14.8,Y
520,IDCJAC0001,70014,1982,7,3.8,Y
521,IDCJAC0001,70014,1982,8,10.8,Y
522,IDCJAC0001,70014,1982,9,53.2,Y
523,IDCJAC0001,70014,1982,10,10.8,Y
524,IDCJAC0001,70014,1982,11,0.2,Y
525,IDCJAC0001,70014,1982,12,26.4,Y
526,IDCJAC0001,70014,1983,1,28.6,Y
527,IDCJAC0001,70014,1983,2,33.2,Y
